id_,n_bedrooms,n_bathrooms,area,zipcode,price,bedroom,bathroom,kitchen,frontal
1,4.0,4.0,4053.0,85255.0,869500.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/1_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/1_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/1_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/1_frontal.jpg
2,4.0,3.0,3343.0,36372.0,865200.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/2_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/2_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/2_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/2_frontal.jpg
3,3.0,4.0,3923.0,85266.0,889000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/3_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/3_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/3_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/3_frontal.jpg
4,5.0,5.0,4022.0,85262.0,910000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/4_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/4_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/4_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/4_frontal.jpg
5,3.0,4.0,4116.0,85266.0,971226.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/5_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/5_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/5_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/5_frontal.jpg
6,4.0,5.0,4581.0,85266.0,1249000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/6_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/6_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/6_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/6_frontal.jpg
7,3.0,4.0,2544.0,85262.0,799000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/7_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/7_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/7_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/7_frontal.jpg
8,4.0,5.0,5524.0,85266.0,1698000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/8_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/8_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/8_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/8_frontal.jpg
9,3.0,4.0,4229.0,85255.0,1749000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/9_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/9_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/9_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/9_frontal.jpg
10,4.0,5.0,3550.0,85262.0,1500000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/10_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/10_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/10_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/10_frontal.jpg
11,5.0,5.0,4829.0,85266.0,519200.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/11_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/11_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/11_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/11_frontal.jpg
12,4.0,4.0,3428.0,85255.0,1039000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/12_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/12_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/12_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/12_frontal.jpg
13,5.0,3.0,5462.0,85266.0,799000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/13_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/13_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/13_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/13_frontal.jpg
14,4.0,4.0,4021.0,85266.0,889000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/14_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/14_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/14_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/14_frontal.jpg
15,5.0,5.0,4406.0,85266.0,700000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/15_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/15_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/15_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/15_frontal.jpg
16,4.0,4.0,3721.0,85255.0,500000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/16_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/16_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/16_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/16_frontal.jpg
17,5.0,3.0,3710.0,85331.0,740000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/17_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/17_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/17_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/17_frontal.jpg
18,3.0,4.0,2748.0,85255.0,725000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/18_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/18_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/18_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/18_frontal.jpg
19,5.0,4.0,4190.0,85255.0,1199000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/19_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/19_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/19_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/19_frontal.jpg
20,3.0,3.5,4143.0,85266.0,925000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/20_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/20_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/20_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/20_frontal.jpg
21,3.0,3.5,4229.0,85255.0,1749000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/21_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/21_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/21_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/21_frontal.jpg
22,6.0,6.5,5963.0,85262.0,1595000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/22_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/22_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/22_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/22_frontal.jpg
23,3.0,3.0,2685.0,85255.0,799900.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/23_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/23_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/23_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/23_frontal.jpg
24,5.0,5.0,5677.0,85377.0,1375000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/24_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/24_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/24_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/24_frontal.jpg
25,4.0,4.5,4031.0,85262.0,1345000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/25_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/25_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/25_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/25_frontal.jpg
26,4.0,4.0,4954.0,85262.0,1290000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/26_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/26_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/26_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/26_frontal.jpg
27,4.0,4.5,3550.0,85262.0,962500.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/27_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/27_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/27_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/27_frontal.jpg
28,5.0,4.5,4180.0,85266.0,875000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/28_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/28_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/28_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/28_frontal.jpg
29,4.0,4.0,4464.0,85377.0,1650000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/29_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/29_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/29_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/29_frontal.jpg
30,5.0,4.5,4829.0,85266.0,1199000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/30_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/30_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/30_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/30_frontal.jpg
31,5.0,3.0,2520.0,93446.0,789000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/31_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/31_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/31_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/31_frontal.jpg
32,4.0,3.5,3428.0,85255.0,1039000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/32_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/32_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/32_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/32_frontal.jpg
33,3.0,2.0,1802.0,93446.0,365000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/33_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/33_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/33_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/33_frontal.jpg
34,3.0,3.5,2873.0,85262.0,1695000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/34_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/34_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/34_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/34_frontal.jpg
35,4.0,4.0,3260.0,85377.0,999000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/35_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/35_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/35_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/35_frontal.jpg
36,3.0,4.5,3893.0,85255.0,1294000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/36_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/36_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/36_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/36_frontal.jpg
37,5.0,5.5,3932.0,85262.0,1089000.0,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/37_bedroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/37_bathroom.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/37_kitchen.jpg,C:/Users/manue/projects/HOUSES-DATASET/Houses Dataset/37_frontal.jpg
